;def;genes;proportion;significant_area;#_cases;#_controls;pvalue_proportion;pvalue_significant_area;fdr_sig_area;fdr_proportion
540;SNV;VRTN;0.3258;0.3169;35;436;0.00147413657370391;0.00602399289307148;0.0350729901210848;0.0107575549745301
874;SNV;PLCH1;0.3291;0.3168;30;441;0.00126816294756525;0.00603942698862781;0.0350729901210848;0.0103798268653457
517;SNV;GTF3C1;0.3239;0.3167;35;436;0.00160683564801328;0.00605489744797878;0.0350729901210848;0.0109006248724322
1237;SNV;ALS2;0.327;0.3165;26;445;0.0013957898526352;0.00608594776748405;0.0350729901210848;0.0107289019886641
915;SNV;ABHD13;0.3177;0.3164;29;442;0.00212368276405174;0.0061015277827067;0.0350729901210848;0.0116135067805398
95;SNV;KMT2C;0.3133;0.3163;55;416;0.00258263031658889;0.00611714447186103;0.0350729901210848;0.0123558390414901
785;SNV;SORBS2;0.3211;0.3163;31;440;0.00182334002305411;0.00611714447186103;0.0350729901210848;0.0110767654692386
678;SNV;KIF1B;0.318;0.3162;32;439;0.00209539567670428;0.00613279791284074;0.0350729901210848;0.0115925825632482
575;SNV;MYH11;0.3184;0.316;34;437;0.00205823680719285;0.00616421536257234;0.0350729901210848;0.011493425161661
2291;SNV;RBL2;0.3212;0.316;21;450;0.00181515057303634;0.00616421536257234;0.0350729901210848;0.0110767654692386
550;SNV;CDON;0.3163;0.3158;34;437;0.00226056008102655;0.00619578075793903;0.0350729901210848;0.0119003052723644
735;SNV;EML5;0.3177;0.3157;31;440;0.00212368276405174;0.00621161913150581;0.0350729901210848;0.0116135067805398
1107;SNV;SPZ1;0.3192;0.3157;28;443;0.00198579194174458;0.00621161913150581;0.0350729901210848;0.0113270709803569
390;SNV;TCHH;0.3248;0.3156;39;432;0.00154261653918879;0.00622749472729597;0.0350729901210848;0.0108292797168902
870;SNV;PCDHGA4;0.3138;0.3156;30;441;0.00252608576906916;0.00622749472729597;0.0350729901210848;0.0123463087690701
526;SNV;NLRP1;0.3204;0.3155;35;436;0.00188165974079953;0.00624340762421717;0.0350729901210848;0.0110767654692386
1702;SNV;TAOK2;0.3326;0.3155;24;447;0.00107988687209333;0.00624340762421717;0.0350729901210848;0.00987487763015529
572;SNV;MDGA2;0.3148;0.3152;34;437;0.00241650358492883;0.00629137091303042;0.0350729901210848;0.0121681059073388
240;SNV;COL22A1;0.3104;0.3151;44;427;0.0029350128248064;0.00630743380646969;0.0350729901210848;0.0127077548030567
1506;SNV;PRKCG;0.3123;0.315;25;446;0.00269934290742183;0.00632353439776824;0.0350729901210848;0.0124544971983362
119;SNV;TMEM132D;0.3036;0.3149;53;418;0.00394819750153092;0.00633967276671119;0.0350729901210848;0.0142942585195757
1250;SNV;C2orf71;0.3206;0.3148;26;445;0.00186481810886543;0.00635584899323076;0.0350729901210848;0.0110767654692386
1791;SNV;GBF1;0.3162;0.3148;23;448;0.00227065142430179;0.00635584899323076;0.0350729901210848;0.0119271580309479
2185;SNV;GHRL;0.335;0.3148;21;450;0.000966586798309454;0.00635584899323076;0.0350729901210848;0.00940738201482087
1160;SNV;KCTD1;0.3237;0.3147;27;444;0.00162144901339322;0.00637206315740632;0.0350729901210848;0.0109006248724322
1857;SNV;PNISR;0.3176;0.3147;23;448;0.00213319224964727;0.00637206315740632;0.0350729901210848;0.0116135067805398
2238;SNV;NEDD9;0.3247;0.3147;21;450;0.00154962914777257;0.00637206315740632;0.0350729901210848;0.0108292797168902
109;SNV;TENM3;0.3234;0.3146;54;417;0.00164360701613565;0.00638831533946473;0.0350729901210848;0.0109006248724322
984;SNV;RASA1;0.3205;0.3146;29;442;0.00187322089509714;0.00638831533946473;0.0350729901210848;0.0110767654692386
1199;SNV;PRSS23;0.3236;0.3146;27;444;0.00162880315802591;0.00638831533946473;0.0350729901210848;0.0109006248724322
2194;SNV;HEXIM1;0.3214;0.3144;21;450;0.00179887670456388;0.00642093407887597;0.0350729901210848;0.0110736432602935
1991;SNV;HIP1R;0.3242;0.3143;22;449;0.0015851509891941;0.00643730079742168;0.0350729901210848;0.0109006248724322
721;SNV;YLPM1;0.3231;0.3142;32;439;0.00166605367480647;0.00645370585623644;0.0350729901210848;0.0109132503152281
1083;SNV;NOS3;0.3263;0.3142;28;443;0.00144099478592518;0.00645370585623644;0.0350729901210848;0.0107289019886641
231;SNV;NOS1;0.3089;0.3141;45;426;0.00313470618337144;0.00647014933628759;0.0350729901210848;0.0130521738297173
434;SNV;MAST4;0.3233;0.3139;37;434;0.00165105698904622;0.00650315188471234;0.0350729901210848;0.0109006248724322
1105;SNV;SPECC1;0.3148;0.3139;28;443;0.00241650358492883;0.00650315188471234;0.0350729901210848;0.0121681059073388
1126;SNV;B3GNT5;0.3232;0.3139;27;444;0.00165853916495882;0.00650315188471234;0.0350729901210848;0.0109132503152281
1468;SNV;KNTC1;0.3115;0.3137;25;446;0.00279629756727495;0.00653630909341371;0.0350729901210848;0.012585972101294
816;SNV;ATXN7L3B;0.3154;0.3136;30;441;0.0023529377319501;0.0065529458993709;0.0350729901210848;0.0120717767270697
